"","Eq_Ind1","Eq_Ind2","VIX","LIBOR"
"201411",2067.56,NA,13.33,-0.003
"201412",2058.9,4736.054,19.2,-0.038
"201501",1994.99,NA,20.97,-0.904
"201502",2104.5,NA,13.34,-0.873
"201503",2067.89,4900.885,15.29,-0.851
"201504",2085.51,NA,14.55,-0.815
"201505",2107.39,NA,13.84,-0.821
"201506",2063.11,4986.867,18.23,-0.832
"201507",2103.84,NA,12.12,-0.787
"201508",1972.18,NA,28.43,-0.781
"201509",1919.05,4620.165,24.5,-0.792
"201510",2079.36,NA,15.07,-0.774
"201511",2080.41,NA,16.13,-0.848
"201512",2043.94,5007.412,18.21,-0.798
"201601",1940.24,NA,20.2,-0.789
"201602",1932.23,NA,20.55,-0.8332
"201603",2059.74,4869.848,13.95,-0.7826
"201604",2065.3,NA,15.7,-0.779
"201605",2096.96,NA,14.19,-0.7746
"201606",2098.86,4842.672,15.63,-0.8286
"201607",2173.6,NA,11.87,-0.7976
"201608",2170.95,NA,13.42,-0.8108
"201609",2168.27,5312.002,13.29,-0.802
"201610",2126.15,NA,17.06,-0.7854
"201611",2198.81,NA,13.33,-0.8178
"201612",2238.83,5383.117,14.04,-0.799
"201701",2278.87,NA,11.99,-0.7884
"201702",2363.64,NA,12.92,-0.8008
"201703",2362.72,5911.738,12.37,-0.7792
"201704",2384.2,NA,10.82,-0.7918
"201705",2411.8,NA,10.41,-0.7874
"201706",2423.41,6140.42,11.18,-0.7848
"201707",2470.3,NA,10.26,-0.7834
"201708",2471.65,NA,10.59,-0.7872
"201709",2519.36,6495.959,9.51,-0.7826
"201710",2575.26,NA,10.18,-0.78255
"201711",2647.58,NA,11.28,-0.8059
"201712",2673.61,6903.389,11.04,-0.80565
